,,,,,,,,,,
"医療機関
コード",医療機関名称,郵便番号,住所,電話番号,院内接種,,,出張接種,,
A010068,医療法人ケイ・アイ　オホーツク海病院,099-2102,北海道北見市端野町２区７９３－１,0157(67)6000,"3,080 ",○,満1歳以上,×,,
A020015,医療法人　内科おひさまクリニック,030-0823,青森県青森市橋本１－９－２６,017(723)0020,"3,000 ",○,満7歳以上,×,,
A020012,森総合クリニック松原,030-0841,青森県青森市奥野２－２０－２,017(776)6299,"3,000 ",○,満1歳以上,×,,
A020030,石田クリニック,030-0845,青森県青森市緑３－３－１６,017(731)1331,"2,900 ",○,満1歳以上,×,,
A020031,川口内科,030-0847,青森県青森市東大野１－８－４,017(762)5252,"3,000 ",○,満1歳以上,×,,
A020005,斉藤内科県庁前クリニック,030-0861,青森県青森市長島２－３－４,017(731)3110,"3,080 ",○,6ヵ月以上,×,,
A020022,福盛内科胃腸科,030-0861,青森県青森市長島２－１－１４,017(775)2767,"3,000 ",○,満3歳以上,×,,
A020020,虹ケ丘内科クリニック,030-0948,青森県青森市虹ケ丘１－３－１３,017(765)1177,"3,080 ",○,満2歳以上,×,,
A020008,高内科小児科医院,030-0957,青森県青森市蛍沢３－１２－１５,017(741)8181,"3,080 ",×,,×,,
A020019,橋本耳鼻科クリニック,031-0823,青森県八戸市湊高台５－２０－１８,0178(33)8711,"3,080 ",○,満1歳以上,○,"3,080 ",1事業所1回訪問30名以上
A020001,医療法人　悠陽　えと内科医院,034-0083,青森県十和田市西三番町１－２８,0176(23)2727,"3,080 ",○,満13歳以上,×,,
A020038,育成会内科小児科,034-0083,青森県十和田市西三番町１－２８,0176(23)3821,"3,080 ",○,満1歳以上,×,,
A020006,斎藤医院,036-0241,青森県平川市八幡崎本林１１,0172(57)3308,"3,000 ",○,満13歳以上,×,,
A020025,守屋内科,036-8002,"青森県弘前市駅前３－２－１
イトーヨーカドー弘前店６階",0172(31)2565,"3,000 ",○,満7歳以上,×,,
A020039,大町内科クリニック,036-8004,青森県弘前市大字大町１－１４－３,0172(31)3511,"3,000 ",○,満16歳以上,×,,
A020028,相原内科小児科医院,036-8062,青森県弘前市青山３－８－２,0172(33)0055,"3,080 ",○,満1歳以上,×,,
A020034,医療法人　河内小児科内科クリニック,036-8141,青森県弘前市松原東１－１４－２,0172(88)1010,"3,000 ",○,満1歳以上,×,,
A020027,医療法人　成心会　なりた内科クリニック,036-8162,青森県弘前市安原２－１－１３,0172(87)7788,"3,000 ",○,満6歳以上,×,,
A020013,富野町内科医院,036-8174,青森県弘前市富野町８－３,0172(35)3335,"3,080 ",○,満6歳以上,×,,
A020033,津田医院,036-8227,青森県弘前市桔梗野４－７－４,0172(36)2612,"2,500 ",○,満13歳以上,×,,
A020024,山口医院,036-8255,青森県弘前市若葉１－６－４,0172(39)2311,"3,000 ",○,満1歳以上,×,,
A020003,駅前クリニック,037-0063,青森県五所川原市大町１,0173(38)5100,"3,080 ",○,満1歳以上,×,,
A020035,津軽保健生活協同組合　津軽医院,038-1311,青森県青森市浪岡大字浪岡字浅井２０５,0172(62)3101,"3,000 ",○,満15歳以上,×,,
A020011,田中外科内科医院,038-3662,"青森県北津軽郡板柳町大字板柳字土井
２００",0172(73)2525,"3,000 ",○,満1歳以上,×,,
A020032,田名部整形外科,039-1165,青森県八戸市石堂１－５－２５,0178(29)1000,"2,500 ",○,満1歳以上,×,,
A030018,江村胃腸科内科医院,020-0044,岩手県盛岡市城西町７－３３,019(623)4035,"3,000 ",○,満7歳以上,×,,
A030021,旭橋クリニック　菊池循環器内科,020-0063,岩手県盛岡市材木町２－２６,019(653)8511,"3,000 ",○,満13歳以上,×,,
A030009,児島内科小児科医院,020-0122,岩手県盛岡市みたけ３－１１－３６,019(641)3310,"3,000 ",○,6ヵ月以上,×,,
A030019,ゆとりが丘クリニック,020-0638,岩手県滝沢市土沢５４１,019(699)1122,"3,080 ",○,満7歳以上,×,,
A030001,医療法人社団　愛和会　盛岡南病院,020-0835,岩手県盛岡市津志田１３地割１８－４,019(638)2020,"3,000 ",○,満16歳以上,×,,
A030007,いしかわ内科クリニック,024-0055,岩手県北上市大堤南１－１－２５,0197(67)2288,"3,080 ",○,満1歳以上,×,,
A030003,医療法人　愛久会　きたかみ駅前内科クリニック,024-0061,"岩手県北上市大通り１－３－１
おでんせプラザぐろーぶ２Ｆ",0197(61)3372,"3,080 ",○,満13歳以上,○,"3,080 ",1事業所1回訪問100名以上
A030020,大沼小児科医院,025-0055,岩手県花巻市南万丁目１４３８－１,0198(24)8787,"3,000 ",○,満1歳以上,×,,
A030008,笹川医院,025-0075,岩手県花巻市花城町３－２７,0198(23)5633,"3,000 ",○,満18歳以上,×,,
A030023,後藤泌尿器科皮膚科医院,027-0083,岩手県宮古市大通り１－３－２４,0193(62)3630,"3,080 ",○,6ヵ月以上,×,,
A040050,一般財団法人　周行会健診クリニック,980-0011,"宮城県仙台市青葉区上杉２－３－３
ノースフォー１階",022(221)5668,"3,080 ",○,満16歳以上,×,,
A040019,朴澤耳鼻咽喉科,980-0803,"宮城県仙台市青葉区国分町２－１４－１
８定禅寺パークビル３０３",022(397)8338,"3,000 ",○,満15歳以上,×,,
A040001,医療法人社団　進興会　せんだい総合健診クリニック,980-0811,"宮城県仙台市青葉区一番町１－９－１
仙台トラストタワー４階",022(221)0066,"3,080 ",○,満15歳以上,○,"3,080 ",1事業所1回訪問90名以上
A040004,一般財団法人　杜の都産業保健会　一番町健診クリニック,980-0811,"宮城県仙台市青葉区一番町４－９－１８
ＴＩＣビル５Ｆ",022(251)7261,"3,000 ",○,満16歳以上,○,"3,000 ",1事業所1回訪問100名以上
A040038,東二番丁診療所,980-0811,"宮城県仙台市青葉区一番町１－９－１
仙台トラストタワー３Ｆ",022(221)5226,"3,080 ",○,満15歳以上,×,,
A040047,南町通り内科クリニック,980-0811,"宮城県仙台市青葉区一番町２－２－８
ＩＫＩビル２Ｆ",022(716)6277,"3,000 ",○,満16歳以上,×,,
A040009,一般財団法人　宮城県成人病予防協会　中央診療所,980-6112,"宮城県仙台市青葉区中央１－３－１
アエル１２階",022(263)4050,"3,080 ",○,満15歳以上,×,,
A040054,医療法人医徳会　真壁病院,981-0503,宮城県東松島市矢本字鹿石前１０９－４,0225(82)7111,"3,080 ",○,満1歳以上,×,,
A040035,医療法人社団祐人会　館腰クリニック,981-1226,宮城県名取市植松４－１７－１６,022(383)6680,"3,080 ",○,満3歳以上,×,,
A040007,一般財団法人　宮城県成人病予防協会　市名坂診療所,981-3107,宮城県仙台市泉区本田町８－１２,022(375)7113,"3,080 ",○,満15歳以上,○,"3,080 ",1事業所1回訪問50名以上
A040022,仙台胃腸クリニック,981-3121,宮城県仙台市泉区上谷刈２－４－３０,022(218)3888,"3,080 ",○,満15歳以上,×,,
A040014,高森クリニック,981-3203,宮城県仙台市泉区高森４－６－６,022(777)1888,"3,080 ",○,満1歳以上,×,,
A040053,あすと長町みんなのクリニック,982-0007,"宮城県仙台市太白区あすと長町
１－３－１ＳＨＩＰ仙台ビル２階",022(796)8020,"3,080 ",○,満1歳以上,×,,
A040034,小林内科医院,982-0023,宮城県仙台市太白区鹿野２－４－１５,022(248)3063,"3,080 ",○,6ヵ月以上,×,,
A040041,新井川内科クリニック,982-0031,宮城県仙台市太白区泉崎１－２９－１５,022(243)4141,"3,000 ",○,満13歳以上,×,,
A040031,ひかりクリニック,983-0824,宮城県仙台市宮城野区鶴ケ谷字京原７,022(781)9948,"3,080 ",○,満18歳以上,×,,
A040017,医療法人　桃陽会　榴岡わたなべクリニック,983-0852,"宮城県仙台市宮城野区榴岡３－１１
－１８　プレノ榴岡１Ｆ",022(298)6201,"3,080 ",○,満5歳以上,×,,
A040051,仙台産業医科診療所,984-0011,"宮城県仙台市若林区六丁の目西町
１－４３",022(288)7701,"3,080 ",○,満15歳以上,×,,
A040049,医療法人　仁泉会　みやぎ健診プラザ,984-0015,宮城県仙台市若林区卸町１－６－９,022(231)3655,"3,000 ",○,満18歳以上,×,,
A040033,えびな総合クリニック,984-0032,宮城県仙台市若林区荒井字札屋敷３６,022(294)6633,"3,000 ",○,0ヵ月以上,×,,
A040012,医療法人社団桜信会　さくらい循環器・内科クリニック,984-0816,"宮城県仙台市若林区河原町１－１－５
リライアンス河原町２階",022(217)6757,"3,080 ",○,満13歳以上,×,,
A040056,公益財団法人宮城厚生協会　坂総合クリニック,985-0835,宮城県多賀城市下馬２－１３－７,022(361)7011,"3,080 ",○,満1歳以上,×,,
A040048,医療法人社団　緑水会　米川診療所,987-0901,宮城県登米市東和町米川字町下５９－１,0220(45)2301,"3,080 ",○,0ヵ月以上,×,,
A040044,しろがね産科婦人科クリニック,989-0218,宮城県白石市鷹巣東３－８－３,0224(24)4103,"3,000 ",○,満13歳以上,×,,
A040030,医療法人社団　曽木会　高野原曽木医院,989-3216,"宮城県仙台市青葉区高野原４－１０－１
４",022(391)3311,"3,080 ",○,6ヵ月以上,×,,
A040025,萩野診療所,989-4806,宮城県栗原市金成有壁上原前４－７,0228(44)2005,"3,000 ",○,満1歳以上,×,,
A040008,佐々木内科医院,989-5501,宮城県栗原市若柳字川北欠２１－１,0228(32)6633,"3,080 ",○,満1歳以上,×,,
A050025,医療法人　長谷山会　長谷山内科医院,010-0001,秋田県秋田市中通３－３－４３,018(832)2248,"3,080 ",○,満13歳以上,×,,
A050057,医療法人　小川内科医院,010-0001,秋田県秋田市中通３－３－５５,018(832)4013,"3,080 ",○,満16歳以上,×,,
A050036,医療法人　工藤胃腸内科クリニック,010-0001,"秋田県秋田市中通１－３－５
秋田キャッスルホテル２Ｆ",018(825)9100,"2,600 ",○,満13歳以上,×,,
A050013,高橋内科医院,010-0042,秋田県秋田市桜４－１－１,018(837)1500,"3,080 ",○,満1歳以上,×,,
A050056,設楽産婦人科内科クリニック,010-0802,秋田県秋田市外旭川字前谷地４３－１,018(816)0311,"3,080 ",○,満16歳以上,×,,
A050005,医療法人　武田胃腸クリニック,010-0921,秋田県秋田市大町１－６－１２,018(863)2711,"3,080 ",×,,×,,
A050045,大町内科外科クリニック,010-0921,秋田県秋田市大町１－２－２３,018(888)3037,"3,000 ",○,満1歳以上,×,,
A050001,島田クリニック,010-0931,秋田県秋田市川元山下町７－２１,018(888)0101,"3,000 ",○,満1歳以上,×,,
A050006,はらだ小児科医院,010-0953,秋田県秋田市山王中園町２－１６,018(867)8855,"3,080 ",×,,×,,
A050008,中込内科医院,010-0973,秋田県秋田市八橋本町３－１－５,018(862)1564,"3,080 ",×,,×,,
A050031,医療法人　健雄会　岩崎医院,010-1223,秋田県秋田市雄和妙法字上大部９０－１,018(886)4133,"2,500 ",○,満3歳以上,×,,
A050044,医療法人　杏仁会　御所野ひかりクリニック,010-1423,秋田県秋田市仁井田字横山２６０－１,018(829)8880,"2,600 ",○,0ヵ月以上,×,,
A050047,加賀谷記念　小松こども医院,010-1425,秋田県秋田市御野場新町４－７－２２,018(839)8100,"3,080 ",○,満1歳以上,×,,
A050061,小松内科クリニック,010-1425,秋田県秋田市御野場新町２－１０－１２,018(839)9880,"3,080 ",○,満1歳以上,×,,
A050023,医療法人　藤盛レィディーズクリニック,010-8506,秋田県秋田市東通仲町４－１－４Ｆ,018(884)3939,"3,000 ",○,満7歳以上,×,,
A050048,真崎耳鼻咽喉科医院,011-0946,秋田県秋田市土崎港中央６－８－３,018(845)0234,"2,400 ",○,0ヵ月以上,×,,
A050040,石川医院,011-0951,秋田県秋田市土崎港相染町字大谷地３５,018(845)0284,"2,600 ",○,満15歳以上,×,,
A050037,医療法人　健生会　佐藤外科胃腸科,012-0037,秋田県湯沢市字沖鶴１６７－２,0183(73)7100,"3,000 ",○,満5歳以上,×,,
A050053,後藤医院,012-0041,秋田県湯沢市字中野１８１－１,0183(56)7300,"2,500 ",○,満6歳以上,×,,
A050026,山本内科医院,012-0827,秋田県湯沢市表町２－３－７,0183(78)0220,"2,500 ",○,満13歳以上,×,,
A050041,医療法人　横手胃腸科クリニック,013-0032,秋田県横手市清川町１３－３１,0182(35)2222,"3,000 ",○,満1歳以上,×,,
A050042,渡辺内科循環器科医院,013-0060,秋田県横手市条里３－３－１０,0182(35)7020,"3,000 ",○,満1歳以上,×,,
A050011,松井医院,013-0073,秋田県横手市赤川字村ノ前３８－１,0182(36)3711,"2,000 ",○,満1歳以上,×,,
A050039,西成医院,013-0105,秋田県横手市平鹿町浅舞字浅舞５３,0182(24)1023,"2,500 ",○,満1歳以上,×,,
A050020,医療法人　佐藤レディースクリニック,014-0044,秋田県大仙市戸蒔字谷地添１０６－１,0187(86)0311,"3,000 ",○,満12歳以上,×,,
A050002,木村医院,015-0404,"秋田県由利本荘市矢島町七日町字七日町
３９",0184(56)2005,"3,000 ",×,,×,,
A050016,浅野耳鼻咽喉科医院,015-0802,秋田県由利本荘市表尾崎町１７－４,0184(22)5883,"3,000 ",×,,×,,
A050052,梵天内科クリニック,015-0843,秋田県由利本荘市東梵天１７１－１,0184(28)0015,"3,000 ",○,満13歳以上,×,,
A050034,佐々木産婦人科医院,015-0874,秋田県由利本荘市給人町３７－１,0184(22)2358,"3,080 ",○,満1歳以上,×,,
A050060,永沢医院,016-0821,秋田県能代市畠町１３－１７,0185(52)4274,"2,000 ",○,満3歳以上,×,,
A050004,おおたファミリークリニック,016-0845,秋田県能代市通町７－１５,0185(89)7750,"3,000 ",○,0ヵ月以上,×,,
A050035,たなか耳鼻咽喉科医院,016-0861,秋田県能代市字彩霞長根３３－１,0185(53)3341,"3,000 ",○,満1歳以上,×,,
A050010,丸屋クリニック,017-0843,秋田県大館市中町３０,0186(42)6565,"2,800 ",○,満13歳以上,×,,
A050022,医療法人　正和会　小玉医院,018-1401,"秋田県潟上市昭和大久保
字街道下９６－８",018(877)2040,"3,000 ",○,6ヵ月以上,×,,
A050058,佐々木産婦人科医院,018-3331,秋田県北秋田市鷹巣字下塚下６－１,0186(63)0105,"3,080 ",○,満1歳以上,×,,
A050050,柴田医院,019-2625,"秋田県秋田市河辺北野田高屋字黒沼下堤
下２０－１１",018(882)2131,"3,000 ",○,満1歳以上,×,,
A060016,医療法人　西條クリニック,990-0025,山形県山形市あこや町３－１２－１５,023(642)3332,"3,080 ",○,満5歳以上,×,,
A060011,医療法人社団　長谷川医院,990-0066,山形県山形市印役町２－１－２,023(631)7874,"3,000 ",○,満1歳以上,×,,
A060002,一般財団法人　日本健康管理協会　山形健康管理センター,990-0813,山形県山形市桧町４－８－３０,023(681)7760,"3,080 ",○,満20歳以上,×,,
A060054,しろにし診療所,990-0832,山形県山形市城西町４－２７－２５,023(643)2017,"3,080 ",○,満15歳以上,×,,
A060030,島崎クリニック,990-0832,山形県山形市城西町５－３－５,023(645)6162,"3,000 ",○,満2歳以上,×,,
A060058,一般財団法人全日本労働福祉協会東北支部,990-0853,山形県山形市西崎４９－６,023(643)6778,"3,080 ",○,満18歳以上,○,"3,080 ",1事業所1回訪問50名以上
A060038,いそだ医院,990-2161,山形県山形市大字漆山２５７３－１,023(682)1522,"3,080 ",○,満6歳以上,×,,
A060047,林内科・レディースクリニック,990-2339,山形県山形市成沢西２－１－２１,023(688)8781,"3,080 ",○,満13歳以上,×,,
A060041,小松胃腸科内科クリニック,990-2451,山形県山形市吉原２－４－１９,023(647)3131,"3,080 ",○,満1歳以上,×,,
A060026,医療法人社団　大道寺内科医院,990-2483,山形県山形市上町３－１１－４,023(644)7555,"2,700 ",○,満13歳以上,×,,
A060057,よこやまクリニック,992-0026,山形県米沢市東１－３－２１,0238(40)1884,"3,080 ",○,満1歳以上,×,,
A060012,大辻外科胃腸科,992-0045,山形県米沢市中央１－２－１０,0238(21)2242,"3,000 ",○,満7歳以上,×,,
A060022,医療法人社団　小林医院,992-0045,山形県米沢市中央７－１－３０,0238(21)8181,"3,080 ",○,満13歳以上,×,,
A060033,医療法人社団　根際会　もり医院,992-0057,山形県米沢市成島町２－１－３５,0238(23)2471,"3,080 ",○,満13歳以上,×,,
A060049,田中クリニック,992-0117,山形県米沢市大字川井２３５６－１,0238(28)3505,"3,080 ",○,満6歳以上,×,,
A060003,さいとう内科胃腸科クリニック,994-0049,山形県天童市南町２－１０－５,023(658)6622,"3,000 ",×,,×,,
A060021,鈴木整形外科医院,996-0002,山形県新庄市金沢２３９４－１,0233(22)5532,"3,080 ",○,満18歳以上,×,,
A060013,丸岡真柄医院,997-0334,山形県鶴岡市丸岡字町の内２９１－４０,0235(57)5110,"3,000 ",○,満1歳以上,×,,
A060037,医療法人　満天　心臓・血圧　満天クリニック,997-0819,山形県鶴岡市のぞみ町５－１７,0235(25)3222,"3,000 ",○,満12歳以上,×,,
A060039,五十嵐ハートクリニック,997-0857,山形県鶴岡市美咲町２４－８,0235(29)7665,"2,500 ",○,満13歳以上,×,,
A060045,池田外科胃腸科医院,998-0011,山形県酒田市上安町１－８０－２８,0234(27)3563,"3,080 ",○,満1歳以上,×,,
A060027,守川整形外科医院,998-0023,山形県酒田市幸町１－１３－２４,0234(24)7227,"3,080 ",○,満18歳以上,×,,
A060028,医療法人　加納医院,998-0037,山形県酒田市日吉町１－６－２５,0234(22)1195,"2,500 ",○,満13歳以上,×,,
A060018,サイトー内科,998-0046,山形県酒田市一番町９－９,0234(23)7718,"3,000 ",○,0ヵ月以上,×,,
A060035,いくま内科胃腸科クリニック,998-0103,山形県酒田市錦町５－３２－６９８,0234(41)1855,"3,000 ",○,満13歳以上,×,,
A060020,医療法人社団　池田内科医院,998-0125,山形県酒田市広野字末広１０５－４,0234(92)2210,"2,700 ",○,満1歳以上,×,,
A060048,医療法人かめがさき整形外科,998-0842,山形県酒田市亀ケ崎３－２－１３,0234(24)8855,"2,600 ",○,満1歳以上,×,,
A060029,医療法人　外科内科　渡邊クリニック,998-0842,山形県酒田市亀ケ崎３－２－１,0234(21)6211,"3,000 ",○,満3歳以上,×,,
A060043,松浦内科医院,998-0878,山形県酒田市こあら２－３－９,0234(22)6320,"3,080 ",○,6ヵ月以上,×,,
A060052,社会医療法人　公徳会　トータルヘルスクリニック,999-2221,山形県南陽市椚塚１１８０－５,0238(40)3406,"3,080 ",○,満1歳以上,×,,
A060056,医療法人　長清会　長岡医院,999-3142,山形県上山市沢丁９－１３,023(672)0308,"3,080 ",○,満6歳以上,×,,
A070001,奥野胃腸科内科医院,960-0101,福島県福島市瀬上町字寺前７,024(553)2658,"3,080 ",○,満5歳以上,×,,
A070013,公益財団法人　福島県労働保健センター,960-0114,福島県福島市沖高字北貴船１－２,024(554)1133,"3,080 ",○,満20歳以上,×,,
