"code","name","ZIP","prefecture","address","tel","InsideInoculationPrice","TargetAge","age"
"A120083","小倉外科内科","270-1176","千葉県","千葉県我孫子市柴崎台３－１９－２２","04(7182)0165",3080,"満1歳以上",1
"A120183","今井医院","270-1326","千葉県","千葉県印西市木下１５２１","0476(42)2885",3080,"満1歳以上",1
"A120163","桜台メディカルクリニック","270-1412","千葉県","千葉県白井市桜台２－７－２","047(491)6668",3000,"満1歳以上",1
"A120120","医療法人社団　敬玄会　菊地医院","270-1431","千葉県","千葉県白井市根１７２０－７","047(492)2121",3080,"満1歳以上",1
"A120072","医療法人社団　誠悠会　もりや内科・呼吸器科クリニック","270-1432","千葉県","千葉県白井市冨士１２９－２９","047(498)6622",3000,"0ヵ月以上",0
"A120119","社会医療法人社団木下会　千葉西総合病院","270-2251","千葉県","千葉県松戸市金ヶ作１０７－１","047(384)8111",3000,"6ヵ月以上",0.5
"A120126","医療法人社団　開智会　高木クリニック","271-0062","千葉県","千葉県松戸市栄町５－３１３","047(364)0979",3080,"満1歳以上",1
"A120148","小関内科医院","271-0082","千葉県","千葉県松戸市二十世紀が丘戸山町１１３","047(391)1473",3000,"満3歳以上",3
"A120100","医療法人社団　ほっち医院","271-0092","千葉県","千葉県松戸市松戸２０４４","047(362)2531",3080,"満1歳以上",1
"A120179","コスモ松戸クリニック","271-0092","千葉県","千葉県松戸市松戸１３３３－１－１１０","047(368)1513",3000,"満3歳以上",3
"A120082","高中医院","272-0023","千葉県","千葉県市川市南八幡４－１－７－４０１","047(370)8777",3000,"満1歳以上",1
"A120061","医療法人　社団　吉田医院","272-0035","千葉県","千葉県市川市新田５－１０－２０","047(322)2131",3080,"0ヵ月以上",0
"A120117","医療法人財団　明理会　行徳総合病院","272-0103","千葉県","千葉県市川市本行徳５５２５－２","047(395)1151",3000,"満1歳以上",1
"A120074","近藤小児科","272-0133","千葉県","千葉県市川市行徳駅前３－１６－２６","047(395)7206",3000,"6ヵ月以上",0.5
"A120053","医療法人社団　藤巻耳鼻咽喉科医院","272-0143","千葉県","千葉県市川市相之川４－１４－５－３Ｆ","047(356)3387",3000,"満1歳以上",1
"A120028","越田医院　内科外科ペインクリニック","272-0814","千葉県","千葉県市川市高石神３５－８","047(334)2551",3000,"6ヵ月以上",0.5
"A120057","篠塚医院","272-0823","千葉県","千葉県市川市東菅野１－５－２","047(322)5870",3000,"満1歳以上",1
"A120218","庄司内科","273-0101","千葉県","千葉県鎌ケ谷市富岡１－６－５","047(445)9855",3080,"満1歳以上",1
"A120245","新鎌ヶ谷北口クリニック","273-0107","千葉県","千葉県鎌ケ谷市新鎌ケ谷１－１４－３６","047(401)3376",3080,"満3歳以上",3
"A120007","医療法人社団　良知会　共立習志野台病院","274-0063","千葉県","千葉県船橋市習志野台４－１３－１６","047(466)3268",3080,"0ヵ月以上",0
"A120114","医療法人社団　朋友会　庭野クリニック","274-0077","千葉県","千葉県船橋市薬円台５－２０－３","047(466)1347",3080,"満1歳以上",1
"A120180","医療法人社団　弘成会　コミュニティクリニックみさき","274-0812","千葉県","千葉県船橋市三咲３－１－１５","047(440)1512",3000,"6ヵ月以上",0.5
"A120127","医療法人社団　星医会　山本医院","274-0814","千葉県","千葉県船橋市新高根４－７－８","047(465)5566",3080,"満1歳以上",1
"A120171","いとう内科循環器科クリニック","274-0823","千葉県","千葉県船橋市二宮１－５－４","047(465)2000",2500,"6ヵ月以上",0.5
"A120247","石原医院","275-0017","千葉県","千葉県習志野市藤崎３－２６－６","047(479)2241",3000,"満3歳以上",3
"A120167","医療法人社団　幕張インター外科","275-0021","千葉県","千葉県習志野市袖ケ浦５－１９－２","047(454)2388",3080,"満4歳以上",4
"A120184","医療法人社団　銀杏会　みつば内科","275-0026","千葉県","千葉県習志野市谷津１－１６－１モリシア津田沼レストラン棟４Ｆ","047(470)3223",3000,"満3歳以上",3
"A120239","浜野胃腸科外科医院","276-0046","千葉県","千葉県八千代市大和田新田１１４６－１０","047(450)8822",3080,"満3歳以上",3
"A120132","医療法人社団昭和会　昭和医院","277-0005","千葉県","千葉県柏市柏３－１１－８","04(7167)5333",3080,"満3歳以上",3
"A120173","つくしが丘医院","277-0072","千葉県","千葉県柏市つくしが丘１－６－１","04(7172)2024",3000,"6ヵ月以上",0.5
"A120104","医療法人社団　爽気会　なのはな内科アレルギー科","277-0841","千葉県","千葉県柏市あけぼの４－４－２５－１Ｆ","04(7142)3300",3080,"0ヵ月以上",0
"A120088","新保クリニック","277-0843","千葉県","千葉県柏市明原３－３－１２折戸ビル１階３号室","04(7190)5151",3080,"満1歳以上",1
"A120110","医療法人社団　大晟会　大和田ファミリークリニック","277-0863","千葉県","千葉県柏市豊四季３０１－７","04(7141)7555",3080,"0ヵ月以上",0
"A120213","医療法人社団　啓心会　七光台クリニック","278-0057","千葉県","千葉県野田市光葉町１－８－６","04(7197)2302",3000,"6ヵ月以上",0.5
"A120225","医療法人社団禎心会　浦安サンクリニック","279-0002","千葉県","千葉県千葉県浦安市北栄１－１６－１７原勝ビル４階","047(380)5677",2500,"満1歳以上",1
"A120038","第２上田クリニック附属　上田クリニック検診センター","279-0004","千葉県","千葉県浦安市猫実３－１８－１７","047(316)6006",3080,"満1歳以上",1
"A120071","医療法人社団泰山会山本医院","279-0004","千葉県","千葉県浦安市猫実２－３１－１０吉間屋第二ビル１Ｆ","047(390)0311",3080,"満1歳以上",1
"A120205","上田クリニック","279-0004","千葉県","千葉県浦安市猫実３－１８－１２","047(354)1711",3080,"満1歳以上",1
"A120034","医療法人社団　清美会　マリンクリニック","279-0012","千葉県","千葉県浦安市入船４－１－１新浦安中央ビル２階","047(382)3838",3080,"満1歳以上",1
"A120037","医療法人社団　國手会空港クリニック","282-0011","千葉県","千葉県成田市三里塚御料牧場１","0476(32)8877",3000,"満1歳以上",1
"A120152","（医）社団今井会　今井医院","283-0005","千葉県","千葉県東金市田間１１３０","0475(52)0276",3080,"満1歳以上",1
"A120026","医療法人社団　豊翔会　天野内科クリニック","283-0066","千葉県","千葉県東金市南上宿５－３４－４東総ビル２Ｆ","0475(55)3986",3080,"満1歳以上",1
"A120219","医療法人社団　大喜会　斉藤クリニック","283-0811","千葉県","千葉県東金市台方２０５８－１","0475(53)1110",3000,"満1歳以上",1
"A120086","板倉医院","284-0005","千葉県","千葉県四街道市四街道１－６－７","043(422)2252",3000,"満1歳以上",1
"A120233","医療法人　社団　佐倉順天堂医院","285-0037","千葉県","千葉県佐倉市本町８１","043(484)2341",3000,"満1歳以上",1
"A120220","医療法人社団　志津南クリニック","285-0844","千葉県","千葉県佐倉市上志津原３６－５","043(462)6616",3080,"満1歳以上",1
"A120243","医療法人社団葉月会　成尾医院","285-0846","千葉県","千葉県佐倉市上志津１６６９－５０","043(462)6400",3000,"満1歳以上",1
"A120049","天本クリニック","285-0858","千葉県","千葉県佐倉市ユーカリが丘６－４－７Ｒビル２Ｆ","043(461)8823",2500,"満1歳以上",1
"A120036","医療法人社団　國手会藤倉クリニック","286-0028","千葉県","千葉県成田市幸町４８３","0476(22)1158",3000,"満1歳以上",1
"A120137","坂本医院","287-0001","千葉県","千葉県香取市佐原ロ２０２８－４３","0478(52)3381",3000,"満3歳以上",3
"A120130","日新外科胃腸科医院","287-0002","千葉県","千葉県香取市北３－１３－１０","0478(54)5977",3000,"満1歳以上",1
"A120170","医療法人社団　彰考会　あいざわクリニック","287-0003","千葉県","千葉県香取市佐原イ２４０３－１","0478(55)8001",3000,"満1歳以上",1
"A120157","浅利クリニック","288-0814","千葉県","千葉県銚子市春日町１２４６－３","0479(20)1888",3000,"満1歳以上",1
"A120177","吉野クリニック","288-0836","千葉県","千葉県銚子市松岸町４－７７８－５１","0479(25)7008",2300,"6ヵ月以上",0.5
"A120144","医療法人社団　玉川会　篠塚医院","289-0302","千葉県","千葉県香取市三ノ分目２５５－７","0478(82)2588",3000,"満1歳以上",1
"A120236","医療法人社団　誠和会　長谷川病院","289-1103","千葉県","千葉県八街市八街に８５","043(444)0137",2800,"満1歳以上",1
"A120166","医療法人社団　愛聖会　八街こどもクリニック","289-1114","千葉県","千葉県八街市東吉田５１７－５７","043(440)6681",3080,"6ヵ月以上",0.5
"A120138","守　医院","289-2102","千葉県","千葉県匝瑳市椿１２６８","0479(73)5511",2900,"0ヵ月以上",0
"A120070","大木内科医院","289-2241","千葉県","千葉県香取郡多古町多古２５３１","0479(76)2904",2500,"0ヵ月以上",0
"A120010","医療法人社団　裕人会　辰巳台クリニック","290-0003","千葉県","千葉県市原市辰巳台東３－１５－２","0436(76)8800",3000,"満1歳以上",1
"A120025","医療法人社団高原会　原村医院","290-0041","千葉県","千葉県市原市玉前７６","0436(21)1259",3080,"満1歳以上",1
"A120067","西岡クリニック","290-0141","千葉県","千葉県市原市ちはら台東１－２－１３","0436(50)5855",3080,"満1歳以上",1
"A120133","たなかハートクリニック","293-0001","千葉県","千葉県富津市大堀４－１－２４","0439(80)1137",3000,"6ヵ月以上",0.5
"A120122","医療法人社団　三東会　竹内医院","293-0001","千葉県","千葉県富津市大堀２－１４－１５","0439(87)0012",3080,"6ヵ月以上",0.5
"A120164","たてやま友愛クリニック","294-0045","千葉県","千葉県館山市北条１３５５－４０","0470(20)1200",3080,"6ヵ月以上",0.5
"A120174","たてやま循環器内科外科","294-0045","千葉県","千葉県館山市北条２４１６－３０","0470(20)1102",3000,"満1歳以上",1
"A120193","医療法人社団　さわしん会　富士見クリニック","297-0017","千葉県","千葉県茂原市東郷２０００","0475(20)2585",3080,"6ヵ月以上",0.5
"A120014","渡辺医院","297-0073","千葉県","千葉県茂原市長尾２５９２","0475(27)7733",3080,"0ヵ月以上",0
"A120003","医療法人社団　福徳会　福王台外科内科","299-0261","千葉県","千葉県袖ケ浦市福王台１－１０－９","0438(62)3881",3080,"満1歳以上",1
"A120077","茂田大和田クリニック","299-1146","千葉県","千葉県君津市大和田５－１－２","0439(50)8877",3080,"満1歳以上",1
"A120023","医療法人社団　今城会　君津クリニック","299-1163","千葉県","千葉県君津市杢師１－１－１","0439(55)8111",3080,"満1歳以上",1
