"code","name","ZIP","address","tel","InsideInoculationPrice","child","TargetAge","OutsideInoculation","OutsideInoculationPrice","VisitCount","age"
"A120106","医療法人社団ゆかり会　幕張胃腸クリニック","262-0033","千葉県千葉市花見川区幕張本郷１－２－２４","043(441)3393","3,080 ","○","満13歳以上","×",NA,NA,13
"A120216","さこう医院","262-0041","千葉県千葉市花見川区柏井町１５９２－６","043(286)6091","3,080 ","○","6ヵ月以上","×",NA,NA,0.5
"A120209","医療法人社団　三育会　宮野木外科・内科","263-0005","千葉県千葉市稲毛区長沼町２６１－３","043(215)0855","3,080 ","○","満1歳以上","×",NA,NA,1
"A120064","医療法人社団　直心会　轟診療所","263-0021","千葉県千葉市稲毛区轟町１－１３－３","043(251)6297","3,080 ","○","満1歳以上","×",NA,NA,1
"A120244","医療法人社団　三康会　田中クリニック","263-0043","千葉県千葉市稲毛区小仲台５－４－１５","043(252)2281","3,080 ","○","満6歳以上","×",NA,NA,6
"A120241","医療法人社団　マリヤ・クリニック","263-0043","千葉県千葉市稲毛区小仲台６－１９－１９　Ｍｙビル１階","043(287)2624","3,080 ","○","6ヵ月以上","×",NA,NA,0.5
"A120237","稲毛病院","263-0043","千葉県千葉市稲毛区小仲台６－２１－３","043(253)7211","3,080 ","○","満15歳以上","×",NA,NA,15
"A120223","らいむらクリニック","264-0004","千葉県千葉市若葉区千城台西２－１－３","043(312)5620","3,080 ","○","満1歳以上","×",NA,NA,1
"A120099","ふるかわクリニック","264-0005","千葉県千葉市若葉区千城台北１－２７－１Ｉビル１Ｆ","043(236)7115","3,000 ","○","満3歳以上","×",NA,NA,3
"A120054","若新医院","266-0011","千葉県千葉市緑区鎌取町１３１－３４","043(261)8851","3,000 ","○","満10歳以上","×",NA,NA,10
"A120242","医療法人社団　錦昌会　みどりのは　葉記念病院","266-0026","千葉県千葉市緑区古市場町９０２－４","043(209)8911","3,000 ","○","満16歳以上","×",NA,NA,16
"A120030","かまとり医院","266-0031","千葉県千葉市緑区おゆみ野３－８－２","043(292)1151","3,080 ","○","6ヵ月以上","×",NA,NA,0.5
"A120182","医療法人社団　紀信会　西村内科胃腸科医院","270-0163","千葉県流山市南流山２－２４－４","04(7150)3885","3,080 ","○","満1歳以上","×",NA,NA,1
"A120128","南流山駅前クリニック","270-0163","千葉県流山市南流山２－２３－１６平澤ビル１Ｆ","04(7178)7500","3,000 ","○","満7歳以上","×",NA,NA,7
"A120094","南流山整形外科","270-0163","千葉県流山市南流山２－１８－４プロモシオン南流山１Ｆ","04(7157)6680","3,000 ","○","満16歳以上","×",NA,NA,16
"A120210","医療法人財団　東京勤労者医療会　東葛病院","270-0174","千葉県流山市下花輪４０９","04(7158)9228","3,080 ","○","満20歳以上","×",NA,NA,20
"A120235","医療法人社団啓仁会　関宿中央医院","270-0222","千葉県野田市木間ケ瀬２４２３－１","04(7198)5108","3,080 ","○","6ヵ月以上","×",NA,NA,0.5
"A120252","医療法人社団　淑幸会　尾崎台クリニック","270-0238","千葉県野田市尾崎台１４","04(7127)6677","3,080 ","○","満1歳以上","×",NA,NA,1
"A120231","石橋クリニック","270-1151","千葉県我孫子市本町１－３－７","04(7181)7711","3,080 ","○","満1歳以上","×",NA,NA,1
"A120232","我孫子つくし野病院","270-1164","千葉県我孫子市つくし野１３１－１","04(7184)2211","3,080 ","○","満16歳以上","×",NA,NA,16
"A120214","社会医療法人社団　蛍水会　名戸ヶ谷あびこ病院","270-1166","千葉県我孫子市我孫子１８５５－１","04(7157)2233","3,080 ","○","0ヵ月以上","×",NA,NA,0
"A120080","医療法人社団　優朗会　根戸クリニック","270-1168","千葉県我孫子市根戸１７４７－６","04(7190)5705","3,080 ","○","満1歳以上","×",NA,NA,1
"A120083","小倉外科内科","270-1176","千葉県我孫子市柴崎台３－１９－２２","04(7182)0165","3,080 ","○","満1歳以上","×",NA,NA,1
"A120183","今井医院","270-1326","千葉県印西市木下１５２１","0476(42)2885","3,080 ","○","満1歳以上","×",NA,NA,1
"A120163","桜台メディカルクリニック","270-1412","千葉県白井市桜台２－７－２","047(491)6668","3,000 ","○","満1歳以上","×",NA,NA,1
"A120120","医療法人社団　敬玄会　菊地医院","270-1431","千葉県白井市根１７２０－７","047(492)2121","3,080 ","○","満1歳以上","×",NA,NA,1
"A120072","医療法人社団　誠悠会　もりや内科・呼吸器科クリニック","270-1432","千葉県白井市冨士１２９－２９","047(498)6622","3,000 ","○","0ヵ月以上","×",NA,NA,0
"A120085","稔台整形外科クリニック","270-2231","千葉県松戸市稔台１－１２－１１林ビル１０５","047(366)1585","2,800 ","○","満10歳以上","×",NA,NA,10
"A120119","社会医療法人社団木下会　千葉西総合病院","270-2251","千葉県松戸市金ヶ作１０７－１","047(384)8111","3,000 ","○","6ヵ月以上","×",NA,NA,0.5
"A120192","創成健診クリニック","270-2261","千葉県松戸市常盤平５－１３－１３","047(389)3757","2,970 ","○","満15歳以上","○","2,970 ","1事業所1回訪問50名以上",15
"A120121","さくら通り内科・大島","270-2261","千葉県松戸市常盤平５－１４－２５中山ビル１階","047(394)7955","3,000 ","○","満13歳以上","×",NA,NA,13
"A120160","もとの金城クリニック","270-2327","千葉県印西市竜腹寺３５０－２","0476(97)7333","3,080 ","○","満7歳以上","×",NA,NA,7
"A120126","医療法人社団　開智会　高木クリニック","271-0062","千葉県松戸市栄町５－３１３","047(364)0979","3,080 ","○","満1歳以上","×",NA,NA,1
"A120148","小関内科医院","271-0082","千葉県松戸市二十世紀が丘戸山町１１３","047(391)1473","3,000 ","○","満3歳以上","×",NA,NA,3
"A120100","医療法人社団　ほっち医院","271-0092","千葉県松戸市松戸２０４４","047(362)2531","3,080 ","○","満1歳以上","×",NA,NA,1
"A120179","コスモ松戸クリニック","271-0092","千葉県松戸市松戸１３３３－１－１１０","047(368)1513","3,000 ","○","満3歳以上","×",NA,NA,3
"A120204","おだなか医院","272-0021","千葉県市川市八幡２－５－８ガレリア・サーラ１Ｆ１０６","047(302)7691","3,080 ","○","満5歳以上","×",NA,NA,5
"A120089","福田医院","272-0022","千葉県市川市鬼越２－１－７","047(334)4355","3,080 ","○","満16歳以上","×",NA,NA,16
"A120082","高中医院","272-0023","千葉県市川市南八幡４－１－７－４０１","047(370)8777","3,000 ","○","満1歳以上","×",NA,NA,1
"A120061","医療法人　社団　吉田医院","272-0035","千葉県市川市新田５－１０－２０","047(322)2131","3,080 ","○","0ヵ月以上","×",NA,NA,0
"A120117","医療法人財団　明理会　行徳総合病院","272-0103","千葉県市川市本行徳５５２５－２","047(395)1151","3,000 ","○","満1歳以上","×",NA,NA,1
"A120095","医療法人社団　岩田クリニック","272-0107","千葉県市川市押切２０－３Ｓビル１０１","047(356)7678","3,080 ","○","満15歳以上","×",NA,NA,15
"A120074","近藤小児科","272-0133","千葉県市川市行徳駅前３－１６－２６","047(395)7206","3,000 ","○","6ヵ月以上","×",NA,NA,0.5
"A120073","中島整形外科","272-0135","千葉県市川市日之出４－１８","047(390)2111","3,080 ","○","満6歳以上","×",NA,NA,6
"A120053","医療法人社団　藤巻耳鼻咽喉科医院","272-0143","千葉県市川市相之川４－１４－５－３Ｆ","047(356)3387","3,000 ","○","満1歳以上","×",NA,NA,1
"A120028","越田医院　内科外科ペインクリニック","272-0814","千葉県市川市高石神３５－８","047(334)2551","3,000 ","○","6ヵ月以上","×",NA,NA,0.5
"A120081","たていし内科","272-0815","千葉県市川市北方２－５－１２","047(334)0077","2,500 ","○","満6歳以上","×",NA,NA,6
"A120103","とつか内科クリニック","272-0822","千葉県市川市宮久保１－１５－２","047(374)8080","3,000 ","○","満6歳以上","×",NA,NA,6
"A120057","篠塚医院","272-0823","千葉県市川市東菅野１－５－２","047(322)5870","3,000 ","○","満1歳以上","×",NA,NA,1
"A120116","医療法人社団　青山会　船橋診療所","273-0011","千葉県船橋市湊町２－８－９","047(433)5105","3,080 ","○","満16歳以上","×",NA,NA,16
"A120176","医療法人社団　順孝会　なかむら内科消化器クリニック","273-0021","千葉県船橋市海神６－７－１２","047(433)4976","3,080 ","○","満5歳以上","×",NA,NA,5
"A120108","加藤内科クリニック","273-0035","千葉県船橋市本中山２－１０－１ミレニティ中山４Ｆ","047(302)6881","3,080 ","○","満13歳以上","×",NA,NA,13
"A120218","庄司内科","273-0101","千葉県鎌ケ谷市富岡１－６－５","047(445)9855","3,080 ","○","満1歳以上","×",NA,NA,1
"A120149","高橋医院","273-0103","千葉県鎌ケ谷市丸山１－１７－３１","047(445)9543","3,000 ","○","満6歳以上","×",NA,NA,6
"A120245","新鎌ヶ谷北口クリニック","273-0107","千葉県鎌ケ谷市新鎌ケ谷１－１４－３６","047(401)3376","3,080 ","○","満3歳以上","×",NA,NA,3
"A120248","医療法人社団　緑有会　かのう内科クリニック","273-0113","千葉県鎌ケ谷市道野辺中央２－５－１８","047(446)7122","3,000 ","○","満13歳以上","×",NA,NA,13
"A120207","医療法人社団協友会　船橋総合病院","273-0864","千葉県船橋市北本町１－１３－１","047(425)1151","3,000 ","○","満16歳以上","○","3,000 ","1事業所1回訪問30名以上",16
"A120007","医療法人社団　良知会　共立習志野台病院","274-0063","千葉県船橋市習志野台４－１３－１６","047(466)3268","3,080 ","○","0ヵ月以上","×",NA,NA,0
"A120146","高根木戸診療所","274-0065","千葉県船橋市高根台４－２３－３","047(466)2203","3,080 ","○","満6歳以上","○","3,080 ","1事業所1回訪問20名以上",6
"A120042","ならしの内科外科","274-0072","千葉県船橋市三山２－１－１１","047(403)8400","3,080 ","○","満13歳以上","×",NA,NA,13
"A120114","医療法人社団　朋友会　庭野クリニック","274-0077","千葉県船橋市薬円台５－２０－３","047(466)1347","3,080 ","○","満1歳以上","×",NA,NA,1
"A120180","医療法人社団　弘成会　コミュニティクリニックみさき","274-0812","千葉県船橋市三咲３－１－１５","047(440)1512","3,000 ","○","6ヵ月以上","×",NA,NA,0.5
"A120127","医療法人社団　星医会　山本医院","274-0814","千葉県船橋市新高根４－７－８","047(465)5566","3,080 ","○","満1歳以上","×",NA,NA,1
"A120171","いとう内科循環器科クリニック","274-0823","千葉県船橋市二宮１－５－４","047(465)2000","2,500 ","○","6ヵ月以上","×",NA,NA,0.5
"A120165","医療法人社団　徳照会　いとう耳鼻咽喉科","274-0824","千葉県船橋市前原東２－２３－２","047(473)8733","3,000 ","○","満7歳以上","×",NA,NA,7
"A120143","医療法人社団　佑仁会　クリニック津田沼","274-0825","千葉県船橋市前原西２－７－４","047(478)5505","3,080 ","○","満13歳以上","×",NA,NA,13
"A120211","医療法人社団和康会　ほしかわクリニック","275-0002","千葉県習志野市実籾２－１５－２３","047(470)5505","3,080 ","○","満13歳以上","×",NA,NA,13
"A120247","石原医院","275-0017","千葉県習志野市藤崎３－２６－６","047(479)2241","3,000 ","○","満3歳以上","×",NA,NA,3
"A120167","医療法人社団　幕張インター外科","275-0021","千葉県習志野市袖ケ浦５－１９－２","047(454)2388","3,080 ","○","満4歳以上","×",NA,NA,4
"A120184","医療法人社団　銀杏会　みつば内科","275-0026","千葉県習志野市谷津１－１６－１モリシア津田沼レストラン棟４Ｆ","047(470)3223","3,000 ","○","満3歳以上","×",NA,NA,3
"A120206","メディカルスクエア　奏の杜クリニック","275-0028","千葉県習志野市奏の杜２－１－１奏の杜フォルテ２階","047(406)5000","3,080 ","○","満15歳以上","×",NA,NA,15
"A120215","社会医療法人社団菊田会　習志野第一病院","275-8555","千葉県習志野市津田沼５－５－２５","047(454)1511","3,080 ","○","満10歳以上","×",NA,NA,10
"A120091","戸叶外科胃腸科医院","276-0036","千葉県八千代市高津７３４－２","047(450)0109","3,000 ","○","満13歳以上","×",NA,NA,13
"A120217","佐々木クリニック","276-0042","千葉県八千代市ゆりのき台４－１－８ベェルジェールゆりのき２階","047(480)8888","3,080 ","○","満7歳以上","×",NA,NA,7
"A120239","浜野胃腸科外科医院","276-0046","千葉県八千代市大和田新田１１４６－１０","047(450)8822","3,080 ","○","満3歳以上","×",NA,NA,3
"A120132","医療法人社団昭和会　昭和医院","277-0005","千葉県柏市柏３－１１－８","04(7167)5333","3,080 ","○","満3歳以上","×",NA,NA,3
"A120008","医療法人社団　聖秀会　聖光ヶ丘病院健診センター","277-0062","千葉県柏市光ヶ丘団地２－３","04(7171)5801","3,000 ","○","満7歳以上","×",NA,NA,7
"A120172","医療法人社団　エターナルウッド会　森永胃腸科外科","277-0071","千葉県柏市豊住４－４－３０","04(7166)3333","3,080 ","○","満15歳以上","×",NA,NA,15
"A120173","つくしが丘医院","277-0072","千葉県柏市つくしが丘１－６－１","04(7172)2024","3,000 ","○","6ヵ月以上","×",NA,NA,0.5
"A120104","医療法人社団　爽気会　なのはな内科アレルギー科","277-0841","千葉県柏市あけぼの４－４－２５－１Ｆ","04(7142)3300","3,080 ","○","0ヵ月以上","×",NA,NA,0
"A120088","新保クリニック","277-0843","千葉県柏市明原３－３－１２折戸ビル１階３号室","04(7190)5151","3,080 ","○","満1歳以上","×",NA,NA,1
"A120097","医療法人社団　協友会　柏厚生総合病院","277-0862","千葉県柏市篠籠田６１７","04(7148)0342","3,080 ","○","満16歳以上","×",NA,NA,16
"A120110","医療法人社団　大晟会　大和田ファミリークリニック","277-0863","千葉県柏市豊四季３０１－７","04(7141)7555","3,080 ","○","0ヵ月以上","×",NA,NA,0
"A120198","医療法人社団全生会　江戸川病院","278-0022","千葉県野田市山崎２７０２","04(7124)5511","3,000 ","○","満13歳以上","×",NA,NA,13
"A120213","医療法人社団　啓心会　七光台クリニック","278-0057","千葉県野田市光葉町１－８－６","04(7197)2302","3,000 ","○","6ヵ月以上","×",NA,NA,0.5
"A120078","医療法人社団　かつなんクリニック","279-0001","千葉県浦安市当代島３－５－１","047(355)1350","3,000 ","○","満19歳以上","×",NA,NA,19
"A120087","杉山クリニック","279-0001","千葉県浦安市当代島１－１－１１フォーレストビル５階","047(311)4109","3,080 ","○","満15歳以上","×",NA,NA,15
"A120225","医療法人社団禎心会　浦安サンクリニック","279-0002","千葉県千葉県浦安市北栄１－１６－１７原勝ビル４階","047(380)5677","2,500 ","○","満1歳以上","×",NA,NA,1
"A120038","第２上田クリニック附属　上田クリニック検診センター","279-0004","千葉県浦安市猫実３－１８－１７","047(316)6006","3,080 ","○","満1歳以上","×",NA,NA,1
"A120071","医療法人社団泰山会山本医院","279-0004","千葉県浦安市猫実２－３１－１０吉間屋第二ビル１Ｆ","047(390)0311","3,080 ","○","満1歳以上","×",NA,NA,1
"A120205","上田クリニック","279-0004","千葉県浦安市猫実３－１８－１２","047(354)1711","3,080 ","○","満1歳以上","×",NA,NA,1
"A120084","順風会　小林クリニック","279-0012","千葉県浦安市入船１－４－１ショッパーズプラザ新浦安６階","047(381)2200","3,080 ","○","満15歳以上","×",NA,NA,15
"A120034","医療法人社団　清美会　マリンクリニック","279-0012","千葉県浦安市入船４－１－１新浦安中央ビル２階","047(382)3838","3,080 ","○","満1歳以上","×",NA,NA,1
"A120191","医療法人社団　ちくま会　メディカルガーデン新浦安","279-0013","千葉県浦安市日の出１－１－２５","047(709)3801","3,080 ","○","満12歳以上","×",NA,NA,12
"A120037","医療法人社団　國手会空港クリニック","282-0011","千葉県成田市三里塚御料牧場１","0476(32)8877","3,000 ","○","満1歳以上","×",NA,NA,1
"A120152","（医）社団今井会　今井医院","283-0005","千葉県東金市田間１１３０","0475(52)0276","3,080 ","○","満1歳以上","×",NA,NA,1
"A120026","医療法人社団　豊翔会　天野内科クリニック","283-0066","千葉県東金市南上宿５－３４－４東総ビル２Ｆ","0475(55)3986","3,080 ","○","満1歳以上","×",NA,NA,1
"A120219","医療法人社団　大喜会　斉藤クリニック","283-0811","千葉県東金市台方２０５８－１","0475(53)1110","3,000 ","○","満1歳以上","×",NA,NA,1
"A120086","板倉医院","284-0005","千葉県四街道市四街道１－６－７","043(422)2252","3,000 ","○","満1歳以上","×",NA,NA,1
"A120233","医療法人　社団　佐倉順天堂医院","285-0037","千葉県佐倉市本町８１","043(484)2341","3,000 ","○","満1歳以上","×",NA,NA,1
"A120220","医療法人社団　志津南クリニック","285-0844","千葉県佐倉市上志津原３６－５","043(462)6616","3,080 ","○","満1歳以上","×",NA,NA,1
"A120243","医療法人社団葉月会　成尾医院","285-0846","千葉県佐倉市上志津１６６９－５０","043(462)6400","3,000 ","○","満1歳以上","×",NA,NA,1
"A120049","天本クリニック","285-0858","千葉県佐倉市ユーカリが丘６－４－７Ｒビル２Ｆ","043(461)8823","2,500 ","○","満1歳以上","×",NA,NA,1
"A120036","医療法人社団　國手会藤倉クリニック","286-0028","千葉県成田市幸町４８３","0476(22)1158","3,000 ","○","満1歳以上","○","3,000 ","1事業所1回訪問30名以上",1
"A120137","坂本医院","287-0001","千葉県香取市佐原ロ２０２８－４３","0478(52)3381","3,000 ","○","満3歳以上","×",NA,NA,3
"A120130","日新外科胃腸科医院","287-0002","千葉県香取市北３－１３－１０","0478(54)5977","3,000 ","○","満1歳以上","×",NA,NA,1
"A120170","医療法人社団　彰考会　あいざわクリニック","287-0003","千葉県香取市佐原イ２４０３－１","0478(55)8001","3,000 ","○","満1歳以上","×",NA,NA,1
"A120157","浅利クリニック","288-0814","千葉県銚子市春日町１２４６－３","0479(20)1888","3,000 ","○","満1歳以上","×",NA,NA,1
"A120177","吉野クリニック","288-0836","千葉県銚子市松岸町４－７７８－５１","0479(25)7008","2,300 ","○","6ヵ月以上","×",NA,NA,0.5
"A120144","医療法人社団　玉川会　篠塚医院","289-0302","千葉県香取市三ノ分目２５５－７","0478(82)2588","3,000 ","○","満1歳以上","×",NA,NA,1
"A120236","医療法人社団　誠和会　長谷川病院","289-1103","千葉県八街市八街に８５","043(444)0137","2,800 ","○","満1歳以上","×",NA,NA,1
"A120166","医療法人社団　愛聖会　八街こどもクリニック","289-1114","千葉県八街市東吉田５１７－５７","043(440)6681","3,080 ","○","6ヵ月以上","×",NA,NA,0.5
"A120022","春日クリニック","289-1212","千葉県山武市木原２０２－１０","0475(88)1110","3,080 ","○","満15歳以上","×",NA,NA,15
"A120138","守　医院","289-2102","千葉県匝瑳市椿１２６８","0479(73)5511","2,900 ","○","0ヵ月以上","×",NA,NA,0
"A120070","大木内科医院","289-2241","千葉県香取郡多古町多古２５３１","0479(76)2904","2,500 ","○","0ヵ月以上","×",NA,NA,0
"A120010","医療法人社団　裕人会　辰巳台クリニック","290-0003","千葉県市原市辰巳台東３－１５－２","0436(76)8800","3,000 ","○","満1歳以上","×",NA,NA,1
"A120025","医療法人社団高原会　原村医院","290-0041","千葉県市原市玉前７６","0436(21)1259","3,080 ","○","満1歳以上","×",NA,NA,1
"A120067","西岡クリニック","290-0141","千葉県市原市ちはら台東１－２－１３","0436(50)5855","3,080 ","○","満1歳以上","×",NA,NA,1
"A120175","社会医療法人社団さつき会　かずさアカデミアクリニック","292-0818","千葉県木更津市かずさ鎌足２－３－９","0438(52)0211","3,080 ","○","満16歳以上","×",NA,NA,16
"A120133","たなかハートクリニック","293-0001","千葉県富津市大堀４－１－２４","0439(80)1137","3,000 ","○","6ヵ月以上","×",NA,NA,0.5
"A120122","医療法人社団　三東会　竹内医院","293-0001","千葉県富津市大堀２－１４－１５","0439(87)0012","3,080 ","○","6ヵ月以上","×",NA,NA,0.5
"A120131","医療法人社団　清川整形外科","294-0018","千葉県館山市国分９０９－１","0470(23)7033","3,080 ","○","満6歳以上","×",NA,NA,6
"A120164","たてやま友愛クリニック","294-0045","千葉県館山市北条１３５５－４０","0470(20)1200","3,080 ","○","6ヵ月以上","×",NA,NA,0.5
"A120174","たてやま循環器内科外科","294-0045","千葉県館山市北条２４１６－３０","0470(20)1102","3,000 ","○","満1歳以上","×",NA,NA,1
"A120193","医療法人社団　さわしん会　富士見クリニック","297-0017","千葉県茂原市東郷２０００","0475(20)2585","3,080 ","○","6ヵ月以上","○","3,080 ","1事業所1回訪問50名以上",0.5
"A120014","渡辺医院","297-0073","千葉県茂原市長尾２５９２","0475(27)7733","3,080 ","○","0ヵ月以上","×",NA,NA,0
"A120203","医療法人社団　慈協会　市原メディカルキュア","299-0111","千葉県市原市姉崎６５８","0436(61)0519","2,700 ","○","満5歳以上","×",NA,NA,5
"A120017","社会医療法人社団さつき会　袖ヶ浦さつき台病院","299-0246","千葉県袖ケ浦市長浦駅前５－２１","0438(62)1113","3,080 ","○","満16歳以上","×",NA,NA,16
"A120003","医療法人社団　福徳会　福王台外科内科","299-0261","千葉県袖ケ浦市福王台１－１０－９","0438(62)3881","3,080 ","○","満1歳以上","×",NA,NA,1
"A120077","茂田大和田クリニック","299-1146","千葉県君津市大和田５－１－２","0439(50)8877","3,080 ","○","満1歳以上","×",NA,NA,1
"A120112","医療法人社団　君津あすなろ会　あすなろクリニック","299-1152","千葉県君津市久保１－２－２","0439(50)0100","3,000 ","○","満12歳以上","×",NA,NA,12
"A120023","医療法人社団　今城会　君津クリニック","299-1163","千葉県君津市杢師１－１－１","0439(55)8111","3,080 ","○","満1歳以上","×",NA,NA,1
"A120196","医療法人社団　寿光会　岬病院","299-4504","千葉県いすみ市岬町桑田２５３１","0470(87)7811","3,000 ","○","満16歳以上","×",NA,NA,16
