"code","name","ZIP","prefecture","address","tel","InsideInoculationPrice","TargetAge","age"
"A110234","医療法人　のうみクリニック","340-0113","埼玉県","埼玉県幸手市幸手５２６４－１","0480(42)7233",3080,"満1歳以上",1
"A110052","医療法人　入江こどもクリニック","340-0113","埼玉県","埼玉県幸手市大字幸手１５１－１","0480(44)1155",3080,"6ヵ月以上",0.5
"A110177","医療法人財団　健和会　みさと健和クリニック","341-0035","埼玉県","埼玉県三郷市鷹野４－５１０－１","048(955)8551",3080,"6ヵ月以上",0.5
"A110226","医療法人　三仁会　越谷津田医院","343-0025","埼玉県","埼玉県越谷市大沢３－２１－１１１階","048(977)1177",3080,"満1歳以上",1
"A110025","医療法人社団　松尾医院","343-0033","埼玉県","埼玉県越谷市恩間２８３","048(977)5963",3080,"6ヵ月以上",0.5
"A110212","医療法人　遠藤クリニック","343-0042","埼玉県","埼玉県越谷市千間台東１－９－１","048(978)1781",3080,"6ヵ月以上",0.5
"A110086","医療法人　順齢會　おだやかライフ内科クリニック","343-0828","埼玉県","埼玉県越谷市レイクタウン３－１－１イオンレイクタウンｍｏｒｉ２Ｆ","048(990)3235",3080,"0ヵ月以上",0
"A110215","蒲生東診療所","343-0841","埼玉県","埼玉県越谷市蒲生東町７－３２","048(986)7500",3080,"満1歳以上",1
"A110030","医療法人　永寿会　三須医院","344-0062","埼玉県","埼玉県春日部市粕壁東１－１１－１２","048(752)2200",3080,"満1歳以上",1
"A110023","医療法人　ゆりのき医院","344-0065","埼玉県","埼玉県春日部市谷原１－１６－２０","048(752)3535",3080,"6ヵ月以上",0.5
"A110082","医療法人社団　東順会　杉戸耳鼻咽喉科医院","345-0036","埼玉県","埼玉県北葛飾郡杉戸町杉戸４－１５－８","0480(32)2841",3000,"満1歳以上",1
"A110117","医療法人　加藤こどもクリニック","347-0068","埼玉県","埼玉県加須市大門町６－３４","0480(61)0304",3080,"0ヵ月以上",0
"A110063","医療法人　須田小児科内科クリニック","349-0111","埼玉県","埼玉県蓮田市東５－８－１フローラＳ１Ｆ","048(764)5699",3080,"満1歳以上",1
"A110224","医療法人社団　圭陽会　白岡ファミリークリニック","349-0217","埼玉県","埼玉県白岡市小久喜２００－１","0480(90)5590",3080,"6ヵ月以上",0.5
"A110083","医療法人　さとうクリニック","350-0042","埼玉県","埼玉県川越市中原町２－１６－３第２武州ビル１Ｆ","049(225)8088",3000,"6ヵ月以上",0.5
"A110029","医療法人　正仁会　大野外科内科クリニック","350-0215","埼玉県","埼玉県坂戸市関間４－１５－１５","049(281)0208",3080,"満1歳以上",1
"A110107","渋谷こどもクリニック","350-0225","埼玉県","埼玉県坂戸市日の出町６－２５マスヤビルⅢ３階","049(284)1881",3080,"満1歳以上",1
"A110013","医療法人　善慈会　善能寺クリニック","350-0256","埼玉県","埼玉県坂戸市善能寺２３２－１","049(289)5588",3080,"満3歳以上",3
"A110144","川越江原耳鼻咽喉科","350-0806","埼玉県","埼玉県川越市天沼新田２７６－１","049(233)7743",3000,"満1歳以上",1
"A110091","医療法人　和心会クリニック","350-1101","埼玉県","埼玉県川越市的場８２６－１","049(231)2005",3080,"満1歳以上",1
"A110042","医療法人社団　輔正会　岡村記念クリニック","350-1245","埼玉県","埼玉県日高市栗坪２３０－１","042(986)1110",3080,"0ヵ月以上",0
"A110011","狭山台胃腸科外科","350-1305","埼玉県","埼玉県狭山市入間川１１６４","04(2959)6000",3000,"満1歳以上",1
"A110135","山岡内科　小児科","350-2203","埼玉県","埼玉県鶴ヶ島市上広谷４１２－２８","049(286)5172",3080,"6ヵ月以上",0.5
"A110093","医療法人　わかば会　宮戸クリニック","351-0035","埼玉県","埼玉県朝霞市朝志ケ丘４－７－１３","048(474)5103",3080,"6ヵ月以上",0.5
"A110140","医療法人社団　門田医院","351-0105","埼玉県","埼玉県和光市西大和団地１－６－３","048(461)6412",3080,"満1歳以上",1
"A110202","医療法人慶和会　和光耳鼻咽喉科医院","351-0114","埼玉県","埼玉県和光市本町２－６レインボープラザ３０８","048(467)0889",3000,"満1歳以上",1
"A110183","医療法人社団　喜恵会　和光駅前クリニック","351-0115","埼玉県","埼玉県和光市新倉１－２－６５","048(460)3466",3080,"0ヵ月以上",0
"A110191","医療法人社団　喜恵会　志木駅前眼科","352-0001","埼玉県","埼玉県新座市東北２－３０－１５川島ビル１階","048(423)0702",3080,"満1歳以上",1
"A110186","医療法人社団　喜恵会　志木南口クリニック","352-0001","埼玉県","埼玉県新座市東北２－３０－１５－２Ｆ","048(485)6788",3080,"6ヵ月以上",0.5
"A110133","新堀クリニック","352-0032","埼玉県","埼玉県新座市新堀１－６－２７","042(479)4124",3000,"満1歳以上",1
"A110143","志木江原耳鼻咽喉科","353-0004","埼玉県","埼玉県志木市本町５－２３－２６－１０１","048(473)7929",3000,"満1歳以上",1
"A110157","医療法人秀志会たなか整形外科クリニック","353-0005","埼玉県","埼玉県志木市幸町４－３－１８","048(486)1010",3080,"満1歳以上",1
"A110057","武田耳鼻咽喉科","354-0018","埼玉県","埼玉県富士見市西みずほ台１－１９－５","049(254)8733",3080,"6ヵ月以上",0.5
"A110037","医療法人社団かいしん会　ますなが医院","354-0031","埼玉県","埼玉県富士見市勝瀬７３９－１","049(264)1511",3000,"満1歳以上",1
"A110156","東松山宏仁クリニック","355-0016","埼玉県","埼玉県東松山市材木町１２－５","0493(22)6111",3000,"満1歳以上",1
"A110047","宏仁会　高坂醫院","355-0062","埼玉県","埼玉県東松山市西本宿１７５９－１","0493(35)1331",3080,"満1歳以上",1
"A110155","医療法人社団　宏仁会小川病院","355-0317","埼玉県","埼玉県比企郡小川町原川２０５","0493(73)2750",3080,"満1歳以上",1
"A110182","医療法人社団　喜恵会　上福岡駅前クリニック","356-0006","埼玉県","埼玉県ふじみ野市霞ケ丘１－２－２７－２０３","049(256)5600",3080,"満1歳以上",1
"A110173","しみず整形外科クリニック","356-0051","埼玉県","埼玉県ふじみ野市亀久保１２４３－７","049(262)3020",3080,"満3歳以上",3
"A110209","澤田医院","358-0011","埼玉県","埼玉県入間市下藤沢４３３","04(2962)2151",3080,"満2歳以上",2
"A110216","鈴木内科医院","358-0024","埼玉県","埼玉県入間市久保稲荷４－１４－１１","04(2901)2662",3000,"6ヵ月以上",0.5
"A110088","マツバクリニック","359-0044","埼玉県","埼玉県所沢市松葉町８－７","04(2995)5131",3080,"満1歳以上",1
"A110188","医療法人社団　一元会　佐々木記念病院","359-1144","埼玉県","埼玉県所沢市西所沢１－７－２５","04(2923)1123",3080,"満3歳以上",3
"A110228","清水内科","360-0012","埼玉県","埼玉県熊谷市上之１５６２－１","048(526)1530",3000,"満1歳以上",1
"A110071","西田クリニック","360-0031","埼玉県","埼玉県熊谷市末広２－２１","048(525)2100",3000,"満1歳以上",1
"A110001","医療法人　クレモナ会　ティーエムクリニック","360-0843","埼玉県","埼玉県熊谷市三ケ尻４８","048(533)8836",3080,"満2歳以上",2
"A110104","（医）基信会　池畑クリニック","361-0072","埼玉県","埼玉県行田市宮本１６－１","048(556)2295",3080,"満1歳以上",1
"A110125","医療法人　鯵坂医院","362-0059","埼玉県","埼玉県上尾市平方２６８５","048(725)2029",3080,"満1歳以上",1
"A110116","医療法人　幸愛会　小林産婦人科クリニック","363-0011","埼玉県","埼玉県桶川市北１－１５－２３","048(773)4135",3080,"6ヵ月以上",0.5
"A110211","桶川中央クリニック","363-0022","埼玉県","埼玉県桶川市若宮２－２－２２","048(786)6628",3080,"6ヵ月以上",0.5
"A110222","桶川西口クリニック","363-0022","埼玉県","埼玉県桶川市若宮１－４－５２埼北ＳＳビル２Ｆ","048(789)5777",3080,"満1歳以上",1
"A110246","医療法人社団　はなぶさ会　いなぎｅｎｔクリニック","364-0033","埼玉県","埼玉県北本市本町４－２０－１","048(593)4567",3080,"満1歳以上",1
"A110085","清水クリニック","367-0047","埼玉県","埼玉県本庄市前原１－１－１３","0495(22)3358",3080,"満1歳以上",1
"A110192","医療生協さいたま生活協同組合　秩父生協病院","368-0016","埼玉県","埼玉県秩父市阿保町１－１１","0494(23)1300",3080,"0ヵ月以上",0
"A110166","医療法人社団コスモ会　あらいクリニック","368-0044","埼玉県","埼玉県秩父市本町１－１８","0494(25)2711",3000,"満1歳以上",1
"A110139","伊藤医院","368-0056","埼玉県","埼玉県秩父市寺尾５３３","0494(23)8008",3000,"満3歳以上",3
